swedish_name;english_name;latin_name
Tjockläppad multe;Thicklip gray mullet;Chelon labrosus
Havsmus;Rabbit fish;Chimaera monstrosa
Tångsnärta;Yarrell's blenny;Chirolophis ascanii
Noskarp;Common nase;Chondrostoma nasus
Femtömmad skärlånga;Five-bearded Rockling;Ciliata mustela
Alfågel;Clangula hyemalis;Clangula hyemalis
Sill;Herring;Clupea harengus
Nissöga;Spined loach;Cobitis taenia
Havsål;Conger Eel;Conger conger
Siklöja;Vendace ;Coregonus albula
Sik;Common whitefish;Coregonus maraena
Peledsik;Peled;Coregonus peled
Vårsiklöja;Coregonus trybomi;Coregonus trybomi
Junkergirella;Rainbow Wrasse;Coris julis
Storfjällig skoläst;Roundnose grenadier;Coryphaenoides rupestris
Franshuvad Skyggfisk;Montagu's blenny;Coryphoblennius galerita
Snorkelkrabba;Corystes cassivelaunus;Corystes cassivelaunus
Paddulk;Polar sculpin;Cottunculus microps
Stensimpa;European bullhead;Cottus gobio
Bergsimpa;Alpine bullhead;Cottus poecilopus
Hästräka;Brown shrimp;Crangon crangon
Glasbult;Crystal goby;Crystallogobius linearis
Stensnultra;Goldsinny wrasse;Ctenolabrus rupestris
Gräskarp;Grass carp;Ctenopharyngodon idella
Sjurygg;Lumpfish;Cyclopterus lumpus
Karp;Carp;Cyprinus carpio
Spjutrocka;Stingray;Dasyatis pastinaca
Stingrocka;Sting Ray;Dasyatis pastinacea
Röd tandbraxen;Morocco dentex;Dentex maroccanus
Havsabborre;Bass;Dicentrarchus Labrax
Tvåfläckig dubbelsugare;Two-spotted Clingfish;Diplecogaster bimaculata
Slätrocka;Common skate;Dipturus batis
Vitrocka;White skate;Dipturus linteus
Svartbuksrocka;Norwegian skate;Dipturus nidarosiensis
Mindre fjärsing;Lesser Weever;Echiichthys vipera
Eledone cirrosa 8-armad bläckfisk;Curled octopus;Eledone cirrosa
Fyrtömmad skärlånga;Four-bearded rockling;Enchelyopus cimbrius
Ansjovis;European anchovy;Engraulis encrasicolus
Större havsnål;Snake pipefish;Entelurus aequoreus
Kinesisk ullhandskrabba;Eriocheir sinensis;Eriocheir sinensis
Gädda;Pike;Esox lucius
Blåkäxa;Velvet belly lanternshark;Etmopterus spinax
Rödvit eremitkräfta;Eupagurus bernhardus;Eupagurus bernhardus
Tunnina;Little Tunny;Euthynnus alletteratus
Knot;Grey gurnard;Eutrigla gurnardus
Silvertorsk;Silvery Pout;Gadiculus argenteus
Torsk;Cod;Gadus morhua
Tretömmad skärlånga;Three-bearded Rockling;Gaidropsarus vulgaris
Blåröd trollhummer;Galathea strigosa;Galathea strigosa
Gråhaj;School shark;Galeorhinus galeus
Hågäl;Black-mouthed dogfish;Galeus melastomus
Storspigg;Three-spined stickleback;Gasterosteus aculeatus
Vitnäbbad islom;Gavia adamsii;Gavia adamsii
Storlom;Gavia arctica;Gavia arctica
Svartnäbbad islom;Gavia immer;Gavia immer
Smålom;Gavia stellata;Gavia stellata
Rödtunga;Witch ;Glyptocephalus cynoglossus
Sandkrypare;Gudgeon;Gobio gobio
Svart Smörbult;Black goby;Gobius niger
Sjustrålig smörbult;Two-spotted goby;Gobiusculus flavescens
Slättobis;Smooth Sand Eel;Gymnammodytes semisquamatus
Gärs;Ruffe;Gymnocephalus cernuus
Gråsäl;Grey seal;Halichoerus grypus
Paddfisk;Lusitanian toadfish;Halobatrachus didactylus
Blåkäft;Blue-mouth;Helicolenus dactylopterus
Blåskrabba;Hemigrapsus sanguineus;Hemigrapsus sanguineus
Långnosad sjöhäst;Long-snouted seahorse;Hippocampus guttulatus
Kortnosad sjöhäst;Short-snouted seahorse;Hippocampus hippocampus
Lerskädda;American plaice;Hippoglossoides platessoides
Hälleflundra;Atlantic halibut;Hippoglossus hippoglossus
Europeisk hummer;European lobster;Homarus gammarus
Atlantisk soldatfisk;Orange roughy;Hoplostethus atlanticus
Donaulax;Danube salmon;Hucho hucho
Hus;Beluga sturgeon;Huso huso
